uer_id, if_target, age, sex, innet_age, arpu, grp_type, is_city, brand, price, dou, cnt_call, cnt_other_ts, is_login_active
1104200025986242, 0, 51, 1, 112, 30, JiaTing, 1, QiTa, , 0, 1, 0, 
1104200026649881, 0, 46, 1, 110, 82.41, JiTuan, 1, OPPO, 849, 1.31, 9, 0, 0
1107200007295008, 0, 45, 0, 156, 113.28, JiTuan, 1, RongYao, 1319, .7, 21, 0, 1
1107200010542634, 1, 65, 0, 149, 169, JiTuan, 1, RongYao, 723, .2, 6, 0, 1
1107200025851455, 0, 34, 0, 112, 105.42, JiaTing, 1, PingGuo, 599, 1.62, 8, 0, 0
1199101191082932, 0, 68, 0, 16, 93.49, JiTuan, 1, OPPO, 2299, 0, 1, 0, 0
1199101140908358, 0, 46, 0, 20, 91, GeRen, 1, HuaWei, 1100, 0, 5, 0, 0
1199101341288583, 0, 32, 0, 4, 1, GeRen, 1, QiTa, 1128, 0, 2, 0, 
1199101174561580, 0, 48, 0, 15, 104, GeRen, 1, HuaWei, 1100, 0, 4, 0, 0
1199101273456234, 0, 57, 0, 8, 0, JiTuan, 1, OPPO, 1925.8, 0, 1, 0, 0
1199101127847218, 1, 26, 0, 22, 177.81, GeRen, 1, vivo, 1928.33, 0, 8, 0, 0
1199101241758682, 0, 25, 0, 7, 0, GeRen, 1, XiaoMi, 599, 0, 1, 0, 0
1199101143778124, 0, 49, 0, 20, 24, GeRen, 1, QiTa, , 0, 1, 0, 
1199101215783240, 1, -1, -1, 14, 167.62, GeRen, 1, OPPO, 1190, 0, 11, 0, 1
1101300099610336, 0, 48, 1, 35, 59.6, JiaTing, 1, HuaWei, 1171.5, 0, 2, 0, 0
1101300031018018, 1, 34, 0, 72, 88, JiTuan, 1, HuaWei, 3093, 4.17, 9, 0, 1
1103300032049735, 0, 46, 1, 71, 101.2, JiaTing, 1, OPPO, 3184.14, 0, 10, 0, 0
1103200000689173, 0, 65, 0, 258, 59.9, JiTuan, 1, PingGuo, 4100, .15, 3, 0, 0
1103101350128605, 0, 24, 0, 4, 1, GeRen, 1, OPPO, 2452, 0, 1, 0, 0
1103101368728079, 0, 53, 0, 1, 32.14, GeRen, 1, RongYao, 899, 0, 1, 0, 0
1103200008064351, 0, 32, 0, 157, 158, JiTuan, 1, PingGuo, 4760, .91, 17, 0, 0
1103200002383802, 0, 40, 0, 189, 72, JiaTing, 1, OPPO, 1925.8, .05, 1, 0, 0
1199101073229924, 1, 51, 0, 27, 77, GeRen, 1, QiTa, , 0, 1, 0, 
1199101074748117, 0, 48, 0, 27, 153.44, GeRen, 1, HuaWei, 1199, .07, 10, 0, 0
1106300057960602, 0, 27, 1, 57, 68.3, GeRen, 1, OPPO, 2032.5, .03, 1, 0, 0
1199101278155227, 0, 51, 1, 9, 0, JiTuan, 1, PingGuo, 599, 0, 1, 0, 0
1101200023542596, 0, 60, 0, 102, 39.11, JiaTing, 1, OPPO, 3699, 0, 5, 0, 0
1101300042914794, 1, 29, 0, 64, 143.02, JiaTing, 1, PingGuo, 4100, 16.8, 3, 0, 1
1101200024504044, 0, 27, 1, 101, 350.48, JiaTing, 1, PingGuo, 6535, 1.44, 16, 0, 1
1101300004081443, 0, 28, 0, 97, 88.1, GeRen, 1, OPPO, 1190, .74, 5, 0, 0
1101300005711749, 1, 31, 0, 96, 224.1, JiaTing, 1, PingGuo, 3579, 12.74, 26, 0, 1
1199101249187241, 0, 42, 0, 11, 118.7, JiTuan, 1, OPPO, 2199, 0, 3, 0, 1
1199101251808572, 1, -1, -1, 11, 118.26, GeRen, 1, PingGuo, 5734.6, 0, 22, 0, 1
1199101253380463, 0, 32, 0, 11, 81.6, JiTuan, 1, OPPO, 3000, 0, 5, 0, 1
1199101258961323, 0, 32, 1, 11, 7.46, GeRen, 1, QiTa, , 0, 3, 0, 
1199101334177629, 0, 17, 0, 5, 69.01, GeRen, 1, OPPO, 3184.14, 0, 1, 0, 1
1199101276293093, 0, 47, 0, 9, 1.1, JiaTing, 1, OPPO, 1345, 0, 6, 0, 0
1103300060095359, 1, 27, 0, 56, 98, GeRen, 1, RongYao, 2999, .5, 1, 0, 1
1103300077302821, 0, 29, 0, 44, 157.98, GeRen, 1, QiTa, 2630, 4.14, 12, 0, 0
1104300068794805, 0, 37, 0, 51, 159.2, JiTuan, 1, OPPO, 2395, .04, 7, 0, 0
1104200001712638, 0, 55, 1, 198, 1, JiaTing, 1, HuaWei, 1548, 0, 3, 0, 0
1104101351339817, 0, 88, 0, 2, 90, GeRen, 1, PingGuo, 6535, 0, 1, 0, 1
1104200002338801, 1, 41, 1, 189, 134.81, JiaTing, 1, PingGuo, 4757, 2.34, 4, 0, 0
1104200006533347, 0, 50, 0, 162, 58.6, GeRen, 1, HuaWei, 1599, .68, 3, 0, 0
1101300006491833, 0, 34, 1, 96, 99.37, JiTuan, 1, vivo, 2395, .84, 11, 0, 0
1101300008921757, 1, 29, 1, 93, 110, JiTuan, 1, PingGuo, 4760, 2.05, 2, 0, 1
1101300054045245, 0, 35, 1, 59, 170.3, JiTuan, 1, PingGuo, 2670, 2.09, 14, 0, 0
1199101247495210, 0, 23, 1, 9, 90, GeRen, 1, HuaWei, 599, 0, 1, 0, 0
1199101248448655, 0, 55, 1, 11, 0, JiTuan, 1, XiaoMi, 599, 0, 1, 0, 0
1199101255389521, 0, 30, 0, 10, 0, GeRen, 1, RongYao, 1799, 0, 1, 0, 1
1199101259791776, 0, 29, 0, 10, 28, GeRen, 1, PingGuo, 3391.33, 0, 7, 0, 0
1199101270908236, 1, 49, 0, 10, 72.3, JiaTing, 1, HuaWei, 2245.71, 0, 2, 0, 1
1101300089298061, 0, 49, 0, 41, 75.23, JiTuan, 1, RongYao, 723, 2.22, 9, 0, 1
1101300098524540, 0, 49, 0, 36, 18, JiaTing, 1, QiTa, 689, 0, 1, 0, 0
1104200003876117, 1, 37, 1, 176, 61.02, JiTuan, 1, PingGuo, 3579, 2.03, 9, 0, 1
1104200011279842, 0, 39, 0, 147, 108.35, JiaTing, 1, vivo, 695, .13, 15, 0, 1
1101300011888707, 0, 42, 0, 90, 18, JiaTing, 1, QiTa, 997.39, .07, 2, 0, 1
1199101249690436, 0, 23, 0, 11, 82, GeRen, 1, HuaWei, 1680, 0, 1, 0, 0
1199101253225008, 0, 54, 1, 11, 1, JiaTing, 1, HuaWei, , 0, 1, 0, 
1199101329886658, 1, 24, 0, 5, 0, GeRen, 1, OPPO, 2008.75, 0, 1, 0, 0
1199101267539081, 1, 29, 1, 10, 114.21, GeRen, 1, HuaWei, 1700, 0, 14, 0, 1
1199101271195031, 0, 40, 1, 8, 64, GeRen, 1, HuaWei, 1599, 0, 1, 0, 1
1199101271777739, 0, 33, 1, 9, 53, GeRen, 1, vivo, 880, 0, 1, 0, 1
1199101315740167, 0, 20, 1, 6, 0, JiaTing, 1, PingGuo, 3391.33, 0, 1, 0, 0
1101300095344538, 1, 30, 0, 38, 245, JiaTing, 1, HuaWei, 2000, 1.1, 7, 0, 0
1101300097594141, 1, -1, -1, 33, 26.5, JiTuan, 1, QiTa, , 6.2, 5, 0, 
1101300093898486, 1, 29, 0, 34, 89, GeRen, 1, OPPO, 2345, 1.15, 8, 0, 1
1101300096533051, 1, 29, 0, 37, 288, JiaTing, 1, PingGuo, 4760, 5.32, 28, 0, 1
1103300098922968, 0, 36, 1, 35, 160.9, JiaTing, 1, OPPO, 3699, 4.59, 5, 0, 1
1103300105136686, 0, 31, 1, 32, 58.1, JiaTing, 1, vivo, 2061.67, .99, 5, 0, 1
1104101366126108, 0, 37, 0, 2, 9, JiaTing, 1, QiTa, 749.67, 0, 1, 0, 0
1104200013955344, 0, 42, 0, 138, 38.2, JiaTing, 1, HuaWei, 1588, .08, 8, 0, 1
